artifact	lines	bytes	sha256
environment/result.tsv	10	1371	d8afa9aa3ced70da7012f6fe7376a76ed11ac74fe74ac50dab03b02cdcf6b807
parsed/result.txt	15	1311	073eb582e591c424c14dd48818d75091391b313f041503826b8424a6ae26a7c2
analyzed/result.txt	12	1659	bfaac63d8494551ae94d27b34b5cf0fe384d80bc6d70296c262a96f0a182ef77
logical/result.txt	15	2121	213b0404e7e5849f477a7f97fd16f12b3944529d3dd5935b34b12a4f31cd9a94
logical-process/result.tsv	1088	227022	32334d259b9f281b9b342dbcc5e6f3f4e21cead5769893166f154f986d54ebcc
memo/cascades.txt	1028	114155	2abdab47b7443085194932a6f58eb46d4ebd40bf4c954bd6898da026e44dc9a8
memo/dphyp.txt	745	82900	b6a53ca9802ca9fec4fc364ba2420cbb9786c0a0abbb12b12910643df2f01f3c
physical/cascades.txt	20	2992	1a8669a959c3900b786f5d7cd817b57b9017cfab3e5349c1595797544bc6f8bc
physical/dphyp.txt	20	2992	bf12e051de9c415871a85c7ceb0cabfbab5315ef56a712174ce526e31502f24a
shape/cascades.txt	17	965	8bccb5c66d7cc94c4707833a686eb8098ee1d9f8c5afd5f052f6527692e17309
shape/dphyp.txt	17	965	8bccb5c66d7cc94c4707833a686eb8098ee1d9f8c5afd5f052f6527692e17309
distributed/cascades.txt	245	8672	fbdddc8644ee5aed8ba4c6c41882b67fbce0eb2c4a9a5c0aab0286e0944dcbeb
distributed/dphyp.txt	245	8672	6919adf6184c5c3e7bf81ab5ccea8bfec5117c48c9cadeb2e731de0937fda279
